scenario,run_id,run_folder,mean_epoch_training_time_seconds,total_training_time_seconds,mean_training_throughput_samples_sec,mean_data_loading_latency_sec_batch,mean_compute_time_sec_batch,total_validation_time_seconds,mean_validation_time_seconds,mean_validation_throughput_samples_sec,final_val_accuracy,final_val_loss,best_val_accuracy,total_cloud_read_time_seconds,total_s3_mb_downloaded_during_epochs,mean_cloud_read_time_sec_batch,cache_warmup_time_seconds,cache_warmup_s3_bytes_downloaded,cache_warmup_s3_megabytes_downloaded,cache_warmup_files_downloaded,cache_warmup_files_already_cached,train_cache_hit_ratio,val_cache_hit_ratio,cache_hits,cache_misses,mean_cache_read_time_sec_batch,validation_mean_cache_read_time_sec_batch,total_s3_mb_downloaded_including_warmup,end_to_end_time_seconds,invalid_gpu_utilization_rows,mean_gpu_utilization_full_log_percent,median_gpu_utilization_full_log_percent,gpu_idle_ratio_full_log_percent,gpu_full_log_sample_count,gpu_full_log_duration_seconds,mean_gpu_utilization_percent,median_gpu_utilization_percent,gpu_idle_ratio_percent,gpu_comparison_window_method,gpu_phase_detection_status,gpu_activity_threshold_percent,gpu_training_phase_start,gpu_training_phase_end,mean_gpu_utilization_training_phase_percent,median_gpu_utilization_training_phase_percent,gpu_idle_ratio_training_phase_percent,gpu_training_phase_sample_count,gpu_training_phase_duration_seconds,mean_gpu_memory_used_mib,max_gpu_memory_used_mib,invalid_gpu_memory_rows,mean_docker_cpu_percent,max_docker_cpu_percent,invalid_docker_cpu_rows,mean_docker_memory_percent,max_docker_memory_percent,invalid_docker_memory_rows,mean_host_cpu_used_percent,max_host_cpu_used_percent,invalid_host_cpu_rows,mean_host_memory_used_mb,max_host_memory_used_mb,invalid_host_memory_rows,estimated_cache_warmup_end,mean_gpu_utilization_post_warmup_percent,median_gpu_utilization_post_warmup_percent,gpu_idle_ratio_post_warmup_percent,gpu_post_warmup_sample_count,gpu_post_warmup_duration_seconds
A,1,run_1_A,64.03172193514183,128.06344387028366,1561.9560884794078,0.0240324537887278,0.057747628144703106,4.0326261022128165,2.0163130511064082,4961.589747523097,0.6487,2.138980312728882,0.6487,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,0.0,132.09606997249648,0,63.932432432432435,70.5,13.513513513513514,148,147.356,63.932432432432435,70.5,13.513513513513514,first_to_last_active_sample,first_to_last_active_sample,20.0,2026-06-01T23:49:46.021000,2026-06-01T23:51:56.358000,72.19847328244275,74.0,2.2900763358778624,131,130.337,4677.5,4938.0,0,444.1794827586207,545.5,0,4.636896551724138,5.48,0,14.543307086614174,18.0,0,3856.299212598425,4551.0,0,,,,,,
A,2,run_2_A,65.32448329613544,130.64896659227088,1530.8205011967052,0.0256630035490631,0.057754479619302745,4.040569931734353,2.0202849658671767,4951.514100688513,0.6584,2.1080838611602783,0.6584,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,0.0,134.68953652400523,0,59.24503311258278,58.0,10.596026490066226,151,150.214,59.24503311258278,58.0,10.596026490066226,first_to_last_active_sample,first_to_last_active_sample,20.0,2026-06-01T23:52:06.393000,2026-06-01T23:54:26.599000,63.4468085106383,59.0,4.25531914893617,141,140.206,4679.549668874172,4938.0,0,439.7341666666667,544.78,0,4.484833333333333,5.4,0,14.5859375,18.0,0,3921.2421875,4716.0,0,,,,,,
A,3,run_3_A,66.57287501799874,133.14575003599748,1502.1215458270794,0.0272985394428367,0.0577230663142998,4.33633688185364,2.16816844092682,4612.6953593075705,0.6605,2.092223111343384,0.6605,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,0.0,137.48208691785112,0,57.42483660130719,62.0,10.457516339869281,153,152.279,57.42483660130719,62.0,10.457516339869281,first_to_last_active_sample,first_to_last_active_sample,20.0,2026-06-01T23:54:44.650000,2026-06-01T23:57:00.916000,64.1094890510949,66.0,0.0,137,136.266,4715.18954248366,4938.0,0,441.8865,513.06,0,4.5065,5.42,0,14.661538461538461,18.0,0,3889.9,5172.0,0,,,,,,
A,4,run_4_A,66.72532285796478,133.45064571592957,1498.6835976687403,0.0274853607141853,0.0577361325404661,4.3423949191346765,2.1711974595673382,4606.76984232748,0.655,2.112618923187256,0.655,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,0.0,137.79304063506424,0,59.422077922077925,63.0,12.337662337662337,154,153.443,59.422077922077925,63.0,12.337662337662337,first_to_last_active_sample,first_to_last_active_sample,20.0,2026-06-01T23:57:17.961000,2026-06-01T23:59:34.387000,66.77372262773723,66.0,1.4598540145985401,137,136.426,4684.584415584415,4938.0,0,442.1595,535.86,0,4.529166666666667,5.28,0,14.580152671755725,18.0,0,4009.038167938931,4976.0,0,,,,,,
A,5,run_5_A,66.90099565149285,133.8019913029857,1494.7465680414912,0.0277083544197547,0.05773030718415735,4.143132231198251,2.0715661155991256,4835.712048660114,0.6556,2.102617672729492,0.6556,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,0.0,137.94512353418395,0,62.63636363636363,66.5,9.740259740259742,154,153.437,62.63636363636363,66.5,9.740259740259742,first_to_last_active_sample,first_to_last_active_sample,20.0,2026-06-01T23:59:44.431000,2026-06-02T00:02:08.863000,66.52413793103449,69.0,4.137931034482759,145,144.432,4716.636363636364,4938.0,0,437.7609836065574,548.03,0,4.513770491803279,5.34,0,14.335877862595419,18.0,0,3985.4885496183206,4816.0,0,,,,,,
A,6,run_6_A,66.61649745353498,133.23299490706995,1501.1296947931178,0.02730754366510155,0.05776913989575865,4.252663208637387,2.1263316043186933,4707.293719339845,0.6566,2.1086306606292724,0.6566,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,0.0,137.48565811570734,0,59.052287581699346,58.0,11.76470588235294,153,152.461,59.052287581699346,58.0,11.76470588235294,first_to_last_active_sample,first_to_last_active_sample,20.0,2026-06-02T00:02:26.909000,2026-06-02T00:04:42.352000,66.42647058823529,65.0,0.7352941176470588,136,135.443,4715.18954248366,4938.0,0,441.60333333333335,537.65,0,4.541999999999999,5.43,0,14.907692307692308,26.0,0,3938.976923076923,4838.0,0,,,,,,
A,7,run_7_A,66.99503630842082,133.99007261684164,1492.649480325757,0.02782812327399005,0.05773499565790915,4.294055357575417,2.1470276787877083,4663.870990753633,0.6549,2.1182271560668946,0.6549,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,0.0,138.28412797441706,0,60.33766233766234,65.5,11.03896103896104,154,153.316,60.33766233766234,65.5,11.03896103896104,first_to_last_active_sample,first_to_last_active_sample,20.0,2026-06-02T00:04:59.399000,2026-06-02T00:07:16.700000,67.33333333333333,69.0,0.7246376811594203,138,137.301,4716.623376623376,4938.0,0,444.9703333333333,541.64,0,4.524333333333334,5.42,0,14.274809160305344,18.0,0,3872.328244274809,4653.0,0,,,,,,
A,8,run_8_A,66.89333682297729,133.78667364595458,1494.9312862815104,0.02768529136456745,0.0577485476956343,4.2849558549933136,2.1424779274966568,4675.228709331057,0.6595,2.101683348846436,0.6595,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,0.0,138.0716295009479,0,61.888888888888886,64.0,11.11111111111111,153,152.542,61.888888888888886,64.0,11.11111111111111,first_to_last_active_sample,first_to_last_active_sample,20.0,2026-06-02T00:07:34.748000,2026-06-02T00:09:51.275000,69.10218978102189,68.0,0.7299270072992701,137,136.527,4715.18954248366,4938.0,0,445.1423333333333,549.85,0,4.5136666666666665,5.28,0,14.251908396946565,17.0,0,3849.8702290076335,4692.0,0,,,,,,
A,9,run_9_A,66.66119521530345,133.3223904306069,1500.129066392568,0.027387074568211198,0.05775227963440875,4.380006145685911,2.1900030728429556,4566.404079164523,0.6534,2.1102905364990234,0.6534,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,0.0,137.7023965762928,0,62.09803921568628,64.0,9.803921568627452,153,152.172,62.09803921568628,64.0,9.803921568627452,first_to_last_active_sample,first_to_last_active_sample,20.0,2026-06-02T00:10:07.323000,2026-06-02T00:12:24.478000,68.84057971014492,67.0,0.0,138,137.155,4715.18954248366,4938.0,0,442.7356666666667,540.2,0,4.324833333333333,5.22,0,14.587786259541986,18.0,0,3879.297709923664,5094.0,0,,,,,,
A,10,run_10_A,67.08003684598953,134.16007369197905,1490.763204354646,0.027843184016473448,0.05782828373772555,4.32026523957029,2.160132619785145,4629.961487178976,0.6526,2.111769976043701,0.6526,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,0.0,138.48033893154934,0,61.29220779220779,64.0,9.740259740259742,154,153.385,61.29220779220779,64.0,9.740259740259742,first_to_last_active_sample,first_to_last_active_sample,20.0,2026-06-02T00:12:33.512000,2026-06-02T00:14:57.891000,65.09655172413792,67.0,4.137931034482759,145,144.379,4716.636363636364,4938.0,0,439.29491803278694,532.93,0,4.500000000000001,5.3,0,14.356060606060606,18.0,0,3898.310606060606,4807.0,0,,,,,,
