scenario,scenario_label,metric,source_column,statistic,ci_method,estimate,lower_ci,upper_ci,ci_half_width,sd,q1,q3,n
A,A – Private,Mean epoch time (s),mean_epoch_training_time_seconds,mean,mean with Student-t CI,66.8474176466853,66.5749330466154,67.1199022467552,0.2724846000699006,0.7297271609824173,66.70850789599353,67.11693418491632,30
A,A – Private,Training throughput (samples/s),mean_training_throughput_samples_sec,mean,mean with Student-t CI,1496.1386575926228,1489.9061113532923,1502.3712038319534,6.232546239330641,16.69106537305842,1489.939715378406,1499.0676141729991,30
A,A – Private,Data-loading latency (s/batch),mean_data_loading_latency_sec_batch,mean,mean with Student-t CI,0.027594728009485005,0.027250405916379377,0.027939050102590634,0.00034432209310562915,0.0009221115006170557,0.02740754158591275,0.027944375473834347,30
A,A – Private,Mean GPU utilization (%),mean_gpu_utilization_training_phase_percent,mean,mean with Student-t CI,66.82990320494072,65.80740333259263,67.85240307728881,1.0224998723480982,2.738304949204662,65.77717391304348,68.4397810218978,30
A,A – Private,Median GPU utilization (%),median_gpu_utilization_training_phase_percent,median,median with percentile-bootstrap CI,66.0,65.0,67.0,1.0,3.1570483086244505,64.625,67.875,30
A,A – Private,GPU idle ratio (%),gpu_idle_ratio_training_phase_percent,mean,mean with Student-t CI,1.971037269972697,1.1248870862647746,2.8171874536806194,0.8461501837079224,2.2660318093702765,0.7246376811594203,2.261035512777962,30
A,A – Private,End-to-end time (min),end_to_end_time_seconds,mean,mean with Student-t CI,2.299561286290021,2.2900725831923476,2.309049989387695,0.009488703097673681,0.025411213591866197,2.2954176265164277,2.3081181758626674,30
A,A – Private,Final validation accuracy (%),final_val_accuracy,mean,mean with Student-t CI,65.61533333333333,65.45216596505098,65.77850070161567,0.16316736828234593,0.4369702375514225,65.36500000000001,65.9475,30
B,B – Hybrid streaming,Mean epoch time (s),mean_epoch_training_time_seconds,mean,mean with Student-t CI,3720.984147660811,3651.6411059502993,3790.327189371322,69.3430417105115,185.70407629758185,3560.0578734476294,3913.2762031172465,30
B,B – Hybrid streaming,Training throughput (samples/s),mean_training_throughput_samples_sec,mean,mean with Student-t CI,26.94109976339509,26.44650419099495,27.43569533579523,0.4945955724001413,1.3245512692806924,25.555434105127684,28.091312432274812,30
B,B – Hybrid streaming,Data-loading latency (s/batch),mean_data_loading_latency_sec_batch,mean,mean with Student-t CI,4.693036469397819,4.604627807865112,4.781445130930525,0.08840866153270618,0.23676274391274688,4.487176115559625,4.937034977373661,30
B,B – Hybrid streaming,Mean GPU utilization (%),mean_gpu_utilization_training_phase_percent,mean,mean with Student-t CI,1.439565321802265,0.9181052889897593,1.9610253546147707,0.5214600328125057,1.396495615577732,1.1586089371323185,1.22631032629858,30
B,B – Hybrid streaming,Median GPU utilization (%),median_gpu_utilization_training_phase_percent,median,median with percentile-bootstrap CI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30
B,B – Hybrid streaming,GPU idle ratio (%),gpu_idle_ratio_training_phase_percent,mean,mean with Student-t CI,97.28139688016967,96.5832516271344,97.97954213320493,0.6981452530352705,1.8696673254932148,97.48476351601343,97.84123922941747,30
B,B – Hybrid streaming,End-to-end time (min),end_to_end_time_seconds,mean,mean with Student-t CI,136.55184473055098,134.04946078801598,139.054228673086,2.502383942535003,6.70150727639513,130.71609888415162,143.47125560382457,30
B,B – Hybrid streaming,Final validation accuracy (%),final_val_accuracy,mean,mean with Student-t CI,65.75666666666666,65.5721203509232,65.94121298241012,0.18454631574345878,0.4942241103632733,65.5,66.0575,30
C,C – Optimized hybrid,Mean epoch time (s),mean_epoch_training_time_seconds,mean,mean with Student-t CI,46.70387699297474,46.653785886271635,46.75396809967785,0.05009110670310783,0.13414644745262408,46.60751379118301,46.785265249956865,30
C,C – Optimized hybrid,Training throughput (samples/s),mean_training_throughput_samples_sec,mean,mean with Student-t CI,2141.6319926379624,2139.365956839318,2143.8980284366066,2.2660357986443507,6.068555322411141,2137.636010325541,2145.902145074008,30
C,C – Optimized hybrid,Data-loading latency (s/batch),mean_data_loading_latency_sec_batch,mean,mean with Student-t CI,0.0011977325296600267,0.0011300274840111936,0.00126543757530886,6.77050456488332e-05,0.00018131744228053187,0.001054024838236725,0.0013013058426894,30
C,C – Optimized hybrid,Mean GPU utilization (%),mean_gpu_utilization_training_phase_percent,mean,mean with Student-t CI,89.546265882432,87.23579357611224,91.85673818875175,2.3104723063197583,6.187558475549447,89.0009900990099,92.9075,30
C,C – Optimized hybrid,Median GPU utilization (%),median_gpu_utilization_training_phase_percent,median,median with percentile-bootstrap CI,99.0,99.0,99.0,0.0,0.0,99.0,99.0,30
C,C – Optimized hybrid,GPU idle ratio (%),gpu_idle_ratio_training_phase_percent,mean,mean with Student-t CI,8.637419130433992,6.369583782870194,10.90525447799779,2.2678353475637976,6.073374602927178,5.0,9.624819624819624,30
C,C – Optimized hybrid,End-to-end time (min),end_to_end_time_seconds,mean,mean with Student-t CI,18.072772417554063,17.975774485074798,18.16977035003333,0.09699793247926618,0.25976523396588785,17.888477069279183,18.263796467054636,30
C,C – Optimized hybrid,Final validation accuracy (%),final_val_accuracy,mean,mean with Student-t CI,65.62033333333333,65.4647849254909,65.77588174117577,0.1555484078424296,0.41656628675922636,65.2725,65.97,30
